Date	Close	High	Low	Open	Volume
	ZS	ZS	ZS	ZS	ZS
2018-03-16	33.00	33.47	26.06	27.50	16931900
2018-03-19	27.90	31.50	26.75	31.45	5892100
2018-03-20	30.38	30.90	28.07	28.41	3262000
2018-03-21	31.08	34.83	29.29	30.79	4460900
2018-03-22	29.83	31.88	28.56	30.00	3239500
2018-03-23	29.43	30.45	28.60	30.31	1247100
2018-03-26	27.83	30.94	27.30	30.63	1916700
2018-03-27	27.75	28.60	26.60	28.00	1719500
2018-03-28	27.53	28.19	27.00	27.35	824700
2018-03-29	28.07	28.45	26.80	27.75	1137600
2018-04-02	27.06	28.66	26.81	27.90	786700
2018-04-03	26.80	27.19	26.50	27.13	787500
2018-04-04	27.97	28.95	26.32	26.35	1023800
2018-04-05	28.53	29.15	27.97	28.61	1210400
2018-04-06	28.22	29.66	28.05	28.32	737300
2018-04-09	26.54	28.70	26.50	28.47	934500
2018-04-10	28.07	28.50	26.84	27.06	1068400
2018-04-11	27.71	29.46	27.40	28.03	795300
2018-04-12	27.96	28.59	27.77	27.81	258900
2018-04-13	27.48	28.70	27.03	28.70	418300
2018-04-16	28.99	29.00	27.57	27.89	401000
2018-04-17	28.75	29.97	28.63	29.31	951500
2018-04-18	28.65	29.00	28.00	28.96	377700
2018-04-19	28.03	28.94	27.75	28.65	265500
2018-04-20	27.22	28.23	27.03	28.05	522500
2018-04-23	26.86	27.58	26.50	27.20	626800
2018-04-24	27.14	27.97	27.00	27.00	393200
2018-04-25	28.11	28.45	26.85	27.09	415700
2018-04-26	28.65	28.81	28.17	28.40	396000
2018-04-27	28.71	28.93	28.41	28.86	197200
2018-04-30	29.89	30.06	28.70	28.70	399100
2018-05-01	29.13	30.03	29.00	29.80	418400
2018-05-02	29.95	30.06	29.01	29.32	265300
2018-05-03	27.57	28.75	26.75	28.75	1937300
2018-05-04	27.86	27.96	27.58	27.58	651300
2018-05-07	27.65	28.35	27.51	28.00	470200
2018-05-08	27.53	27.91	27.27	27.65	266400
2018-05-09	27.85	27.87	27.33	27.49	325500
2018-05-10	28.18	28.82	27.50	27.85	380900
2018-05-11	29.32	29.46	28.01	28.25	604500
2018-05-14	28.47	30.10	28.41	29.37	564800
2018-05-15	27.41	28.76	27.25	28.42	753500
2018-05-16	27.09	27.80	27.07	27.53	383100
2018-05-17	27.39	28.51	26.75	27.07	676300
2018-05-18	27.28	27.81	27.21	27.40	227400
2018-05-21	27.42	27.99	27.04	27.35	268300
2018-05-22	27.09	27.56	27.00	27.56	348700
2018-05-23	26.56	27.14	26.26	26.88	693400
2018-05-24	26.55	27.03	26.35	26.45	467800
2018-05-25	24.95	26.75	24.76	26.50	1034000
2018-05-29	25.63	26.14	25.00	25.00	731200
2018-05-30	25.50	26.40	25.11	25.94	763300
2018-05-31	26.26	26.33	25.07	25.62	725900
2018-06-01	28.18	28.20	26.36	26.36	849100
2018-06-04	29.21	29.40	28.39	28.39	1217700
2018-06-05	30.13	30.16	28.91	29.32	818100
2018-06-06	30.65	31.51	29.86	30.20	2051600
2018-06-07	37.79	42.16	34.85	36.00	10862900
2018-06-08	40.53	40.95	37.40	37.49	3254200
2018-06-11	41.25	43.98	40.59	40.96	3320600
2018-06-12	38.93	41.80	38.79	41.76	2774100
2018-06-13	38.83	39.87	38.30	39.11	1568600
2018-06-14	39.39	41.00	39.27	39.58	1952300
2018-06-15	41.00	42.72	38.94	38.95	3448000
2018-06-18	40.40	40.84	39.52	40.75	1760500
2018-06-19	39.16	39.99	36.36	39.89	3160600
2018-06-20	37.88	39.99	37.77	39.61	1292000
2018-06-21	35.21	38.08	35.19	38.08	2687000
2018-06-22	36.63	36.90	34.25	35.60	3702500
2018-06-25	36.36	37.82	34.39	36.38	2068800
2018-06-26	35.87	37.34	35.30	36.45	1090100
2018-06-27	34.61	36.90	34.31	35.78	1080400
2018-06-28	35.31	35.67	33.51	34.50	1206200
2018-06-29	35.75	36.90	34.28	35.70	1381700
2018-07-02	37.08	37.48	34.80	36.00	1355700
2018-07-03	36.43	37.79	35.60	37.46	761200
2018-07-05	36.67	36.82	35.28	36.61	624400
2018-07-06	38.01	38.78	36.55	36.70	1256600
2018-07-09	39.87	40.07	37.62	38.95	1279800
2018-07-10	38.54	40.34	38.15	40.34	1241200
2018-07-11	39.12	39.31	37.01	38.00	970200
2018-07-12	40.54	40.79	38.81	39.23	1003000
2018-07-13	39.74	40.77	39.12	40.68	724400
2018-07-16	41.12	41.43	39.02	39.66	896800
2018-07-17	41.88	41.98	40.17	41.12	1151100
2018-07-18	41.68	42.63	40.92	42.32	963100
2018-07-19	40.38	41.87	40.16	41.45	722200
2018-07-20	39.79	41.76	39.32	40.57	1290900
2018-07-23	41.38	42.43	39.00	39.62	947600
2018-07-24	39.81	42.54	38.10	41.52	1207900
2018-07-25	41.22	41.28	39.00	39.69	599900
2018-07-26	39.67	40.73	39.48	39.87	856700
2018-07-27	37.38	40.41	37.11	40.10	1134100
2018-07-30	36.22	37.73	35.18	37.29	1235600
2018-07-31	35.31	36.77	33.90	36.10	1391200
2018-08-01	36.06	36.23	35.19	35.60	508700
2018-08-02	37.03	37.47	35.32	35.66	868700
2018-08-03	37.33	37.63	36.35	37.17	647700
2018-08-06	36.59	38.67	36.06	37.42	692800
2018-08-07	37.25	38.30	36.75	37.06	501500
2018-08-08	37.04	38.43	36.78	37.41	546900
2018-08-09	38.29	39.59	37.08	37.08	703600
2018-08-10	38.19	38.64	37.15	38.21	457300
2018-08-13	38.06	39.23	37.55	38.43	565500
2018-08-14	37.52	38.59	36.77	38.03	633900
2018-08-15	36.35	37.40	35.51	37.02	1100400
2018-08-16	39.10	39.15	36.68	36.99	1754700
2018-08-17	40.29	41.00	38.56	38.92	1513200
2018-08-20	39.82	40.99	39.78	40.70	968500
2018-08-21	39.43	39.99	39.06	39.80	922700
2018-08-22	41.72	42.50	39.05	39.70	1956100
2018-08-23	42.55	43.90	41.26	41.50	1528500
2018-08-24	44.43	45.44	43.00	43.10	1892300
2018-08-27	47.26	47.86	45.11	45.12	2974300
2018-08-28	47.00	48.24	45.60	48.24	1696500
2018-08-29	47.16	48.00	46.51	47.00	738200
2018-08-30	43.90	47.97	43.76	47.30	1913100
2018-08-31	42.79	44.44	42.50	43.40	1279200
2018-09-04	44.26	45.14	41.36	43.00	1703600
2018-09-05	44.07	45.47	43.10	44.54	3305300
2018-09-06	41.87	42.69	39.62	42.01	3115300
2018-09-07	46.05	46.90	41.67	41.80	2573000
2018-09-10	45.76	47.79	43.66	45.19	2130400
2018-09-11	42.95	45.88	42.77	45.74	1932100
